name,club,category,time
Mike Salt,Cambridge & Coleridge,M,00:42:14
Andy Pead,Goyt Valley Striders,M40,00:42:54
Malcolm Fowler,Wilmslow Running Club,M40,00:43:30
Jim Pendrill,Wilmslow Running Club,M,00:44:18
Stuart Parrott,Wilmslow Running Club,M40,00:44:29
Jack Ross,Staffs Moorlands,M,00:45:13
Neil Walker,Altrincham,M,00:45:16
Tom McGaff,Wilmslow Running Club,M50,00:45:39
James Noakes,Macclesfield Harriers,M40,00:45:52
Graham McNeil,Wilmslow Running Club,M40,00:46:17
Adair Broughton,Helsby RC,M,00:46:44
Neil Pettie,Goyt Valley Striders,M,00:47:28
Dale Gartley,Fell Runners Association,M50,00:47:46
John Mooney,Macclesfield Harriers,M40,00:47:54
J.Nuttall,Unattached,M,00:47:59
Graham Hill,Calder Valley,M40,00:48:36
Julian Brown,Macclesfield Harriers,M40,00:48:44
Chris Baynham-Hughes,Helsby RC,M,00:48:49
Neil Kelly,Penny Lane Striders,M,00:49:03
Chris McDermott,Macclesfield Harriers,M,00:49:30
Rob Gilbert,Wilmslow Running Club,M40,00:49:45
Steve Dempsey,Wilmslow Running Club,M40,00:49:53
Andy Watts,Wilmslow Running Club,M60,00:50:05
Ewan Douglas,Macclesfield Harriers,M40,00:50:18
Jim O'Hara,Helsby RC,M,00:50:48
Mike Cooper,Wilmslow Running Club,M40,00:50:54
Chris Harding,Goyt Valley Striders,M50,00:51:18
Mark Pottinger,Stainland Lions,M,00:51:24
Steve Smith,Wilmslow Running Club,M40,00:51:39
Peter Davis,Goyt Valley Striders,M40,00:51:50
Tony Hulme,Wilmslow Running Club,M60,00:51:53
Trevor Hindle,Goyt Valley Striders,M40,00:52:50
Ian Hutchinson,Bowland Fell Runners,M40,00:53:04
Andrew Keeley,Penny Lane Striders,M40,00:53:16
Mike Symons,Manchester YMCA,M40,00:53:18
Adrian Fuller,Altrincham,M,00:53:24
Tim Hargreaves,Stockport Harriers,M50,00:53:31
Robert Goulsbra,Kirkstall Harriers,M,00:53:32
Don Bullough,Wilmslow Running Club,M50,00:53:41
Mike Dewsbury,Unattached,M,00:53:42
Paul Norris,Wilmslow Running Club,M50,00:53:59
Ian Landucci,Helsby RC,M40,00:54:01
Ian Scott,Unattached,M50,00:54:08
Martin Mallett,Unattached,M40,00:54:18
Lee Grant,Goyt Valley Striders,M40,00:54:28
Alan Bloomer,Stockport PCT,M,00:54:42
Louise Rudd,Wilmslow Running Club,F,00:54:54
Joe De Souza,Unattached,M40,00:54:56
Richard Hirons,Wilmslow Running Club,M40,00:55:02
Mike Docherty,Unattached,M50,00:55:11
Dave Oldfield,Tattenhall Runners,M50,00:55:13
Gavin Mendham,Wilmslow Running Club,M60,00:55:18
Sally Gilliver,Wilmslow Running Club,F40,00:55:58
Peter Stock,Wilmslow Running Club,M50,00:56:06
Chris Murdoch,Unattached,M,00:56:16
Maria Conaghan,Penny Lane Striders,F,00:56:30
Phil Gillard,Helsby RC,M40,00:56:47
Geoff Gilbert,Wilmslow Running Club,M50,00:56:53
Philip Barnes,Macclesfield Harriers,M50,00:57:01
Steve Russell,Wilmslow Running Club,M50,00:57:11
John Judson,Unattached,M40,00:57:17
Matt Day,Goyt Valley Striders,M,00:57:45
Ken Woodcock,Goyt Valley Striders,M50,00:57:48
Julie Gardner,Goyt Valley Striders,F50,00:57:52
Claire Griffin,Goyt Valley Striders,F,00:58:18
Nicky Mowatt,Wilmslow Running Club,F50,00:58:28
Alec Robertson,Helsby RC,M60,00:58:32
Stephen Simons,Manchester YMCA,M40,00:58:48
Si Hilton,Stockport Harriers,M40,00:59:08
Andrew Dixon,Unattached,M50,00:59:19
Ian Waddell,Goyt Valley Striders,M40,00:59:23
Ian Ashcroft,Wilmslow Running Club,M60,00:59:26
Gill Darby,Penny Lane Striders,F40,00:59:27
David Foakes,Helsby RC,M40,00:59:35
Jo Miles,Goyt Valley Striders,F40,00:59:53
Janine Ellis,Wilmslow Running Club,F40,00:59:57
John Mackintosh,Unattached,M40,01:00:02
Kate Sutton,Wilmslow Running Club,F40,01:00:03
Steve Picken,Unattached,M40,01:00:10
Louise Perry-Hall,Manchester YMCA,F,01:00:11
Stephanie Goodchild,Manchester YMCA,F40,01:00:15
James Gowin,Wilmslow Running Club,M,01:00:33
Chris Corns,Unattached,M,01:00:41
Rachel Walker,Manchester YMCA,F,01:00:50
Angela Maziere,Wilmslow Running Club,F40,01:01:00
Fredelina Yong,Reading Roadrunners,F,01:01:07
Rick Stratton,Unattached,M40,01:01:11
Roger Nelson,Unattached,M50,01:01:25
Adrian Bates,Unattached,M50,01:01:28
John Shaw,Unattached,M40,01:01:43
Sam Darby,Penny Lane Striders,M50,01:01:59
Tony Ryan,Unattached,M40,01:02:03
Emma Coverley,Unattached,F,01:02:08
Carolyn Whittle,Goyt Valley Striders,F,01:02:12
Craig Wright,Unattached,M,01:02:14
Mark Whelan,Goyt Valley Striders,M40,01:02:18
Paul Hunt,Goyt Valley Striders,M40,01:02:41
Daniel Brotherton,Unattached,M,01:02:47
Robert Webster,Tattenhall Runners,M50,01:02:52
Andrea Wragg,Unattached,F,01:03:12
Sarah Bull,Goyt Valley Striders,F,01:03:26
Philomena Smith,Goyt Valley Striders,F40,01:03:26
Andy Smith,Helsby RC,M40,01:03:33
John Richards,Stockport Harriers,M,01:04:02
Steffi Sperring,Wilmslow Running Club,F,01:04:04
Andrew Dodd,Wilmslow Running Club,M,01:04:05
Huma Rahman,Wilmslow Running Club,F40,01:04:14
Sharon Jones,Wilmslow Running Club,F40,01:04:37
Miranda Clarke,Manchester YMCA,F,01:04:54
Simon Fenton,Wilmslow Running Club,M60,01:05:01
James Barns,Unattached,M50,01:05:12
Anthony Hargreaves,Penny Lane Striders,M50,01:05:35
Alan Romagnolo,Sale Harriers,M40,01:06:02
Soraya Mason,Wilmslow Running Club,F40,01:06:08
Mark Barlow,Unattached,M40,01:06:28
Dave Whewell,Macclesfield Harriers,M50,01:06:30
Dave Wood,Manchester Harriers,M40,01:06:55
Mike Blackburn,Stockport Harriers,M,01:07:03
Mike Thirsk,Stockport Harriers,M50,01:07:05
Claire Gruner,Unattached,F,01:07:21
Philip Hitchins,Staffs Moorlands,M60,01:07:24
Roy Pownall,Wilmslow Running Club,M60,01:07:39
Karl Smith,Goyt Valley Striders,M40,01:07:43
Lesley Foakes,Helsby RC,F40,01:07:59
Julie Lucas,Wilmslow Running Club,F40,01:08:02
Eleanor Robinson,Ripley RC,F60,01:08:10
Stuart Cairns,Unattached,M40,01:08:22
Trevor Faulkner,Wilmslow Running Club,M60,01:08:30
Ros Mann,Unattached,F50,01:08:39
Carolyn Hirons,Wilmslow Running Club,F40,01:09:32
Ian Manners,Manchester YMCA,M40,01:10:04
Tracy Vernon,Goyt Valley Striders,F50,01:11:02
Andy Bale,Unattached,M40,01:12:50
Sarah Miles,Wilmslow Running Club,F,01:13:52
Colin Waterworth,Norwich Harriers,M50,01:14:05
Caroline Page,Denbigh Harriers,F40,01:14:57
Julian Page,Denbigh Harriers,M40,01:17:24
