name,club,category,time
Simon  Bailey,Mercia,Open,00:55:09
Tom Addison,Helm Hill,U23,00:56:03
Morgan Donnelly,Borrowdale,Open,00:56:08
Darren Kay,Pudsey & Bramley,V40,00:56:18
Rob Hope,Pudsey & Bramley,Open,00:57:01
Lloyd Taggart,Dark Peak Fell Runners,V40,00:57:25
Mark Addison,Helm Hill,Open,00:57:33
Robert Little,Dark Peak Fell Runners,Open,00:58:26
Rob Baker,Dark Peak Fell Runners,Open,00:58:45
Rhys Findlay-Robinson,Dark Peak Fell Runners,Open,00:59:12
Chris Birchall,Leeds City AC,Open,00:59:22
Jason Williams,Calder Valley,Open,00:59:36
Martin  Mikkelsen-Barron,Borrowdale,Open,00:59:48
Ben Bardsley,Borrowdale,V40,00:59:55
Mark  Roberts,Borrowdale,V50,01:00:16
Shaun Godsman,Calder Valley,Open,01:00:23
Tim  Ellis,Calder Valley,Open,01:00:27
Karl Gray,Calder Valley,V40,01:00:36
Tim Werrett,Mercia,V40,01:00:43
Ted  Mason,Wharfdale Harriers,Open,01:00:47
Tom Brunt,Holmfirth Harriers,Open,01:00:55
Oliver Johnson,Dark Peak Fell Runners,Open,01:01:07
Ben Mounsey,Calder Valley,Open,01:01:39
Pete Hodges,Dark Peak Fell Runners,Open,01:01:59
Tim Black,Calder Valley,Open,01:02:15
Dave  Neill,Staffordshire Moorlands AC,V55,01:02:33
Stephen Pyke,Dark Peak Fell Runners,V45,01:02:35
Todd Oates,Ambleside AC,Open,01:02:37
Paul Jones,Mercia,V40,01:02:40
Tom Cringle,Cheshire Hill Racers,Open,01:02:41
Andy Beanland,Settle Harriers,Open,01:02:52
Jon Morgan,Dark Peak Fell Runners,V45,01:03:00
Steven  Birkenshaw,Borrowdale,V40,01:03:05
Mick Stenton,Dark Peak Fell Runners,V50,01:03:11
Christopher Lee,Trafford AC,V40,01:03:20
John Hunt,Dark Peak Fell Runners,V45,01:03:23
Paul Stevenson,Pudsey And Bramley,V50,01:03:33
Mike  Fanning,Borrowdale,V40,01:03:39
Jon Deegan,Ambleside AC,V45,01:03:46
David Kirkham,Wharfdale Harriers,Open,01:03:48
Darren Holloway,PennineFell Runners,V40,01:03:53
William  Neill,Mercia,U23,01:03:59
Nicholas Charlesworth,Wharfdale Harriers,V45,01:04:14
Mark Chippendale,Bowland,V40,01:04:20
Alex Whittem,Calder Valley,Open,01:04:25
Ed Gamble,Cheshire Hill Racers,V45,01:04:27
Steven  Knowles,PennineFell Runners,V40,01:04:30
Paul Cornforth,Borrowdale,V45,01:04:32
Dwayne Dixon,Todmorden Harriers,V40,01:04:34
Matt Reedy,Ambleside AC,Open,01:04:45
Bill Stewart,Holmfirth Harriers,V40,01:04:47
Ben Abdelnoor,Ambleside AC,Open,01:04:54
Tom Bush,Altringham & District,Open,01:05:20
Nicholas Barber,PennineFell Runners,Open,01:05:27
Anthony Smith,Ambleside AC,V40,01:05:40
Robin Stones,Helm Hill,Open,01:05:53
Gavin Bland,Borrowdale,V40,01:06:00
Jack Ross,Staffordshire Moorlands AC,U23,01:06:10
Brian  Stevenson,Pudsey And Bramley,V45,01:06:19
John  Lloyd,Todmorden Harriers,Open,01:06:25
Sam  Fisher,Howgill Harriers,U23,01:06:29
Steven  Bell,Dark Peak Fell Runners,V45,01:06:32
James Wood,Staffordshire Moorlands AC,Open,01:06:37
Gareth Briggs,Staffordshire Moorlands AC,V40,01:06:45
Paul M Crabtree,Wharfdale Harriers,V45,01:06:50
Paul Crabtree,Wharfdale Harriers,V40,01:06:51
Mike  Johnson,Bowland,V50,01:06:54
Dave Prosser,Keswick AC,V45,01:07:03
Tom McGaff,Cheshire Hill Racers,V55,01:07:07
Andy Normandale,York Acorn AC,V55,01:07:28
Andrew Schofield,Borrowdale,V40,01:07:37
Joe Washington,Calder Vale,Open,01:07:39
Romain Pierrel,Calder Valley,Open,01:07:42
Alex Jones,Pudsey & Bramley,Open,01:07:45
Nigel Wood,Coniston Fell Runners,Open,01:07:47
Stuart Shuttleworth,Ambleside AC,V50,01:07:51
Andy Staveley,Burnden Road Runners,V50,01:07:56
Chris Reade,Bowland,V45,01:08:30
Rob Sellors,Manx Fell Runners,V45,01:08:43
Darren Fishwick,Chorley Harriers,V40,01:08:46
David Keeling,Cheshire Hill Racers,V50,01:08:49
Niall Bourke,Pudsey And Bramley,Open,01:08:52
Howard Seal,CFR,Open,01:08:54
Dave Ward,PennineFell Runners,Open,01:09:01
Gavin Pattinson,Ellenborough,V40,01:09:09
Paul Jeggo,Springfield Striders,V50,01:09:13
Edmund Newley,Mercia,V40,01:09:16
Robert Taylor,PennineFell Runners,V60,01:09:26
John Bagge,Helm Hill,V50,01:09:53
Richard Horsfield,Dark Peak Fell Runners,V50,01:09:58
Ben Grant,Harrogate Harriers,V60,01:10:11
Andy Hauser,Holmfirth Harriers,V55,01:10:42
Tom Roo,Mercia,Open,01:10:43
Mark Messenger,Macclesfield Harriers,V45,01:10:57
Stephen Storey,Dark Peak Fell Runners,V55,01:11:10
Patrick Hanna,Howgill Harriers,U23,01:11:21
Alistair Hanna,Howgill Harriers,U23,01:11:34
Mike  Walsh,Kendal AC,V60,01:11:43
Paul Brannigan,Todmorden Harriers,V45,01:11:46
Steve Moffat,Howgill Harriers,V50,01:11:48
Vincent Booth,Cheshire Hill Racers,V45,01:12:04
Pete Mathews,Mercia,Open,01:12:14
Dave Soles,PennineFell Runners,V50,01:12:23
Martyn Pollit,Burnden Road Runners,V50,01:12:27
Pete Booth,Clayton-Le- Moors,V60,01:12:34
Jackie Winn,Ellenborough,V60,01:12:40
Chris Sanderson,NFR,V40,01:12:42
Neil Hardiman,Clayton-Le- Moors,V40,01:13:15
Roy Gibson,Dark Peak Fell Runners,V50,01:13:19
Keith Thomas,Burnden Road Runners,V55,01:13:27
Sean  Robinson,Howgill Harriers,Open,01:13:50
Chris Needham,Leeds City AC,Open,01:13:52
Ian Glendinning,Calder Valley,Open,01:13:55
Steven  Bamber,Bowland,V45,01:14:01
Dave Collins,Todmorden Harriers,V55,01:14:10
Simon  Entwistle,PennineFell Runners,V55,01:14:32
Dicky Wilkinson,Dark Peak Fell Runners,V50,01:14:42
Glen Davies,Mercia,V55,01:14:52
Mark Harris,Helm Hill,V40,01:15:25
Jonathan Haynes,Bishops Stortford,V55,01:15:31
Alan  Brentall,PennineFell Runners,V60,01:15:38
Hassan Khattab,Chorley Harriers,Open,01:15:44
Barry Blyth,Macclesfield Harriers,V65,01:15:50
Jim Wheldon,Pudsey Pacers,V60,01:16:02
Brian  Walton,Horwich RMI,V55,01:16:11
Steven  O'Keefe,CFR,V40,01:16:15
Andrew Bradley,CFR,V45,01:16:29
Barry Hodgson,Ellenborough,V55,01:16:35
Ali Welsh,Bowland,V50,01:16:51
Dan Taylor,Todmorden Harriers,Open,01:16:54
Richard Unwin,Keswick AC,V55,01:16:57
Keith Holmes,Dark Peak Fell Runners,V55,01:16:59
Stephen Fry,Harrogate Harriers,V45,01:17:02
Steven  Bennett,North Derbyshire Running Club,V50,01:17:16
Ron Rees,PennineFell Runners,V55,01:17:39
David Tait,Dark Peak Fell Runners,V65,01:17:58
Neil Cassidy,Tynedale Harriers,V55,01:18:55
Kierran Carr,Clayton-Le- Moors,V65,01:19:29
Simon Anderton,Todmorden Harriers,V50,01:19:54
Stephen Smithies,Calder Valley,V40,01:20:13
Adrian Dixon,FRA,V65,01:20:33
Graham McAra,Cheshire Hill Racers,V55,01:20:54
Stephen Roberts,Oswestry Olympians AC,V55,01:21:30
Brian  Kennedy,Settle Harriers,V50,01:21:51
Alistair Macgregor,Holmfirth Harriers,Open,01:22:24
Richard Bellaries,Clayton-Le- Moors,V55,01:22:45
Paul Jackson,Chorley Athletic & Tri Club,V45,01:23:03
David Knight,Holmfirth Harriers,V40,01:23:11
Colin Whittaker,Bowland,V45,01:23:24
Jim Coldwell,U/A,Open,01:23:37
Trevor Longman,Macclesfield Harriers,V60,01:23:41
Len I'anson,Borrowdale,V55,01:23:44
