name,club,category,time
Martin Mikkelsen-Barron,Borrowdale,M,00:48:14
Mark Lamb,KeswickAC,M,00:50:32
Bill Stewart,Borrowdale,M40,00:50:41
Chris Edis,KeswickAC,M,00:51:43
Timothy Cowin,Howgill H,M40,00:55:27
Jonny Hume,KeswickAC,M,00:55:42
Anthony Meadwell,Borrowdale,M40,00:56:15
Chris Jackson,Glossopdale,M,00:56:30
Caitlin Rice,Glossopdale,W,00:56:49
Darren Fishwick,Chorley,M40,00:57:01
Adrian Harvey,Howgill H,M,00:57:42
Mario Yeomans,CFR,M,00:59:00
Pez Bullen,KeswickAC,M50,01:00:04
Katy Moore,KeswickAC,W,01:00:11
John Perry,Wharfedale H,M,01:00:47
Michael Smith,Dallam,M40,01:02:23
Philip Rigby,Helm Hill,M50,01:04:28
Catherine Spurden,KeswickAC,W,01:04:40
Neil Thompson,KeswickAC,M40,01:05:58
Adrian Bacon,U/A,M40,01:06:28
Helen Winskill,KeswickAC,W40,01:07:25
Jo Grove,Borrowdale,M40,01:08:49
Jo Gillyon,KeswickAC,W,01:08:55
Caroline Muhammed,Borrowdale,W40,01:10:02
Paul Dobson,KeswickAC,M50,01:10:15
Jayne Rigby,Helm Hill,W40,01:10:26
Michael Keavney,Swaledale,M40,01:11:33
Chris Richardson,Easingwold RC,M40,01:13:42
Mick Leddy,U/A,M50,01:18:04
Darian Bridge,Borrowdale,M60,01:19:51
Nicky Butler,KeswickAC,W50,01:19:59
Tom Bowie,Carnegie H,M60,01:20:24
Kim Clark,KeswickAC,W50,01:22:10
Lindsay Buck,CFR,W50,01:22:33
Andrew Dines,U/A,M40,01:28:26
Dougie Nisbet,Durham FR,M50,01:29:01
Peter Bowker,Kendal AC,M70,01:45:26
