name,club,category,time
Sam Tosh,Rossendale Harriers & A.C.,M,00:41:10
Anthony Dalton,Rossendale Harriers & A.C.,M,00:44:28
Ben Coop,Bury A.C.,M,00:44:43
Alex Hall,Unattached,M,00:44:52
Ashley Holt,Rossendale Harriers & A.C.,MV40,00:45:53
Matthew Jackson,Rochdale Harriers & A.C.,M,00:46:20
Simon Pymm,Saddleworth Runners Club,M,00:46:37
Katie Walshaw,Holmfirth Harriers,F,00:47:04
Andy Thorpe,Calder Valley Fell Runners,MV45,00:47:35
Mike Flatley,Middleton Harriers A.C.,MV45,00:48:08
John  Lloyd,Salford Harriers/Calder Valley Fell Runners,M,00:48:18
Paul Jibson,Middleton Harriers A.C.,MV45,00:48:43
Benn Heywood,Bury A.C.,M,00:49:01
Matt Dunn,Holcombe Harriers,MV40,00:49:26
Billy McCartney,Salford Harriers,M,00:49:28
Paul Timms,Rochdale Triathlon Club,M,00:49:38
Gayle Sugden,Calder Valley Fell Runners,FV40,00:50:01
Daniel McManus,Royton Road Runners,M,00:50:02
Jon Tinman,Rossendale Harriers & A.C.,MV45,00:50:08
Chris Merchant,Rochdale Harriers & A.C.,MV40,00:50:09
Rob Jackson,Horwich R.M.I. Harriers,MV45,00:50:13
John Ealing,Rossendale Harriers & A.C.,MV45,00:50:23
Thomas Harkin,Unattached,MV40,00:50:26
Toby Evans,Rossendale Harriers & A.C.,MV40,00:50:31
Al Smithson,Mersey Tri,M,00:50:37
Neil Holding,West Pennine Runners,MV55,00:50:48
Richard Stirzaker,Rochdale Harriers & A.C.,M,00:51:24
Scott Hitchen,Rossendale Harriers & A.C.,MV40,00:51:35
Gary Chadderton,Horwich R.M.I. Harriers,MV50,00:51:38
Paul Birkett,Salford Harriers,MV50,00:51:45
Chris Maher,Horwich R.M.I. Harriers,MV45,00:51:46
Thornton Taylor,Rossendale Harriers & A.C.,MV55,00:51:48
David Murphy,Rossendale Harriers & A.C.,MV45,00:52:03
Jon Dearnley-Lane,Rochdale Harriers & A.C.,M,00:52:15
Rob McAndrew,Rossendale Harriers & A.C.,M,00:52:19
Carl Byrne,Holcombe Harriers,MV40,00:52:33
Richard Butterwick,Todmorden Harriers,MV45,00:52:40
Lorraine Hopley,Rossendale Harriers & A.C.,FV40,00:52:46
Daniel Hitchings,Rochdale Harriers & A.C.,M,00:52:49
Andy Poole,Achille Ratti,MV50,00:52:51
Kelsham Hanna,Southampton A.C.,MV45,00:52:57
Ronnie Turner,Rossendale Harriers & A.C.,MV50,00:53:05
Robert Bolton,Unattached,MV45,00:53:11
David Ward,Radcliffe A.C.,MV40,00:53:26
Paul Boardman,Horwich R.M.I. Harriers,MV50,00:53:27
Sally Newman,Calder Valley Fell Runners,FV50,00:53:37
Nick Kelly,Horwich R.M.I. Harriers,MV45,00:53:41
Angus Robinson,G.M. Fire & Rescue,MV50,00:54:10
John  Deasey,Rochdale Harriers & A.C.,MV50,00:54:28
Paul Elliott,Rochdale Triathlon Club,M,00:54:32
Howard Mayers,Unattached,M,00:54:55
Jake Ackroyd,Calder Valley Fell Runners,M,00:54:56
Chris Walsh,Unattached,MV50,00:54:58
Alex Frost,Rochdale Harriers & A.C.,MV45,00:55:02
Ken Taylor,Rossendale Harriers & A.C.,MV65,00:55:13
Ian Dale,Royton Road Runners,MV50,00:55:16
Mark Walker,Rochdale Harriers & A.C.,MV45,00:55:18
John Monks,Horwich R.M.I. Harriers,MV60,00:55:19
Paul Beckett,Bramhall Runners,MV50,00:55:20
Matthew Smith,Unattached,M,00:55:23
Nick Walsh,Rochdale Harriers & A.C.,MV45,00:55:33
Elliot Skoruna,Unattached,M,00:55:48
Carmen Byrne,Holcombe Harriers,FV35,00:55:50
Stephen Hopley,Rossendale Harriers & A.C.,MV50,00:56:00
Mark Shuttleworth,Lostock A.C.,MV45,00:56:08
Andrew Lee,Rossendale Harriers & A.C.,MV40,00:56:10
David McChesney,Unattached,M,00:56:13
Paul Wolstenhulme,Rochdale Harriers & A.C.,M,00:56:16
John Mayall,Rochdale Harriers & A.C.,MV50,00:56:18
John Alton,Vale Royal A.C.,MV45,00:56:33
Stephen Radcliffe,Rossendale Harriers & A.C.,MV40,00:56:37
William Lowe,Rossendale Harriers & A.C.,MV55,00:56:40
Nigel Crossfield,Halifax Harriers,MV45,00:57:22
Richard Ingram,Calder Valley Fell Runners,MV40,00:57:32
Phillip Bennett,Rochdale Harriers & A.C.,M,00:57:38
Dave Peart,Royton Road Runners,MV45,00:57:41
Chris Armour,Unattached,MV45,00:57:44
Colin Gilmour,Unattached,MV55,00:57:52
Jared Ahman,Ellis Brigham,M,00:57:57
Kay Welsby,Rochdale Harriers & A.C.,F,00:58:12
Mark McBurnie,Unattached,MV45,00:58:16
James Halligan,Andems Runners,MV45,00:58:21
Barry Wheeler,Red Rose Road Runners,M,00:58:40
Sandra Kelly,Horwich R.M.I. Harriers,FV45,00:58:52
Stephen Leak,Rochdale Harriers & A.C.,MV50,00:59:00
Ali Alsaadi,Belle Vue Racers,MV40,00:59:17
Jeff McCarthy,Rochdale Harriers & A.C.,MV45,00:59:29
Kris Booth,Radcliffe A.C.,M,00:59:31
Phoebe Wallbank,Belle Vue Racers,F,01:00:00
Gavin Roper,Calder Valley Fell Runners,M,01:00:04
Greg Webster,Holcombe Harriers,MV40,01:00:05
Lesley Fisher,Burnden Road Runners,FV55,01:00:11
Ian Smith,Bolton United Harriers,MV60,01:00:12
Dean Moynihan,Saddleworth Runners Club,MV40,01:00:22
Natalie Murphy,Rossendale Harriers & A.C.,FV45,01:00:44
Norman  Eames,Rochdale Harriers & A.C.,MV65,01:01:00
Rob Fox,Unattached,M,01:01:03
Gareth  Williams,Unattached,M,01:01:07
Nathan Kennaugh,Calder Valley Fell Runners,M,01:01:13
Anthony McAndrew,Royton Road Runners,M,01:01:15
Kevin Fox,Rochdale Harriers & A.C.,MV55,01:01:17
Jason Keast,Royton Road Runners,MV45,01:01:27
Paul Suyors,Radcliffe A.C.,MV45,01:01:30
Jeff Hignett,Rossendale Harriers & A.C.,MV65,01:01:33
