name,club,category,time
Cameron Taylor,Esk Valley FC,MJ/1/50/350,01:19:06
Paul Butler,Loftus & Whitby,M45/1/50/250,01:24:10
Charlie Stead,N'land Fell R.,MO/1/50/346,01:26:36
Joe Blackett,Dark Peak FR,M45/2/48/92,01:26:54
Dan Middlemas,Loftus & Whitby,MO/2/48/312,01:27:54
Steve Hardy,Loftus & Whitby,MO/3/46/120,01:35:40
Michael Quinn,Esk Valley FC,MO/4/45/236,01:36:45
Rob Williamson,Loftus & Whitby,M45/3/46/323,01:37:14
Dez Fielden,North York Moors,M40/1/50/137,01:37:25
Chris Jeffries,North York Moors,MO/5/44/173,01:37:25
Jayson Cavill,Pickering RC,MO/6/43/168,01:37:29
Michael Richmond,Pickering RC,MO/7/42/166,01:37:32
Ian McGrath,Durham FR,MO/8/41/322,01:37:34
Anthony Harnett,North York Moors,M50/1/50/288,01:37:38
Noel Clough,Thirsk & Sow,M40/2/48/136,01:37:40
Gordon Brown,Individual#,M50/2/48/181,01:37:44
Phil Green,N'land Fell R.,M40/3/46/312,01:38:10
Jason Ellis,Esk Valley FC,M40/4/45/232,01:38:28
Mark Calvert,H'Pool Burn Rd,MO/9/40/73,01:38:38
Kay Neesam,New Marske H,F40/1/50/350,01:38:45
Phil Conner,Esk Valley FC,M40/5/44/272,01:38:46
Joe Johnson,Esk Valley FC,MO/10/39/290,01:40:20
Simon Collins,Knavesmire H,MO/11/38/188,01:42:18
Chris Sanderson,N'land Fell R.,M40/6/43/168,01:42:20
Lucas Wooton,Individual#,MO/12/37/37,01:42:25
Neil Scruton,Scarborough AC,M60/1/50/350,01:42:28
Ian Brown,Loftus & Whitby,M50/3/46/46,01:42:54
Brian Stallwood,Esk Valley FC,M55/1/50/194,01:43:56
Nick Keen,Chapel Allerton,MO/13/36/36,01:44:29
Dave Tait,Dark Peak FR,M65/1/50/150,01:44:35
David Gibson,Esk Valley FC,MO/14/35/209,01:44:45
Robert Allinson,Redcar RC,MO/15/34/234,01:45:00
Jpohn McNerney,Harrogate AC,MO/16/33/33,01:45:02
Kevin Holmes,Individual#,M50/4/45/249,01:45:48
Stephen Watson,Pickering RC,M40/7/42/294,01:46:32
Lee Wren,Aycliffe RC,MO/17/32/58,01:47:00
Julian Barwick,North York Moors,M50/5/44/334,01:47:20
Stuart Backhouse,Esk Valley FC,M50/6/43/257,01:47:44
Brian Miller,Harrogate AC,M55/2/48/193,01:48:03
James Meadows,Esk Valley FC,MO/18/31/208,01:48:13
Steve Smith,Ripon Runners,M55/3/46/335,01:49:31
Jon. Parker,North York Moors,MO/19/30/97,01:49:35
Julia Jackson,Loftus & Whitby,F40/2/48/276,01:49:43
Martin Connell,Pickering RC,M40/8/41/107,01:50:08
Nicholas Cousins,Pickering RC,M45/4/45/289,01:50:19
Matthew Heron,Aycliffe RC,MO/20/29/29,01:50:31
Peter Milburn,Aycliffe RC,M50/7/42/86,01:50:59
Steve Potter,Esk Valley FC,M40/9/40/70,01:51:17
Matthew Trevellyan,Esk Valley FC,MO/21/28/107,01:51:19
Scott Howard,Esk Valley FC,M40/10/39/180,01:51:38
Matthew Jones,Sedgefield H,MO/22/27/93,01:51:47
Mike McGough,Esk Valley FC,M40/11/38/77,01:52:06
Pete Wilkin,Thirsk & Sow,M50/8/41/125,01:52:33
Hester Cox,Thirsk & Sow,F40/3/46/318,01:52:40
Shaun Roberts,Elvet Striders,M55/4/45/330,01:52:51
Craig Anderton,FRA#,M40/12/37/260,01:53:06
David Heath,New Marske H,M40/13/36/252,01:53:29
Denise Tunstall,Durham FR,F45/1/50/343,01:54:12
Mike Hetherton,Pickering RC,M65/2/48/350,01:54:55
Dave Johnson,N'land Fell R.,M50/9/40/270,01:55:04
Keith Westerman,Esk Valley FC,M45/5/44/249,01:55:14
Gail Bell,Sedgefield H,FO/1/50/187,01:55:22
Mike Wilson,Pickering RC,M50/10/39/266,01:55:28
Kim England,Pickering RC,FO/2/48/324,01:56:00
Kelly Stallwood,Individual#,FO/3/46/88,01:56:10
Ged Webster,Esk Valley FC,M55/5/44/87,01:56:18
Phil Meadows,Esk Valley FC,M50/11/38/118,01:56:35
Dean Stockwell,Individual#,MO/23/26/80,01:56:36
Mal Slater,North Shields P.,M50/12/37/37,01:56:52
Martin Hall,Tyne Bridge H,M45/6/43/105,01:57:16
Lorraine Laycock,Pickering RC,FO/4/45/315,01:57:24
Mark Potter,North York Moors,M40/14/35/70,01:57:47
David Robinson,FRA#,M50/13/36/207,01:58:06
Andrew Lambe,Quakers RC,MO/24/25/158,01:58:34
Trevor Wakenshaw,N'land Fell R.,M45/7/42/188,01:58:36
Trevor Sherwood,H'Pool Burn Rd,M45/8/41/81,01:59:06
Graeme Addison,Sedgefield H,M40/15/34/217,01:59:15
Ian Puckrin,Esk Valley FC,MO/25/24/69,01:59:39
Paul Atkinson,Thirsk & Sow,M45/9/40/72,02:00:26
Paul Walker,Ripon Runners,M40/16/33/59,02:00:38
Dave Anderson,E.Hull H.,M50/14/35/68,02:00:38
Paul Lyons,North York Moors,M55/6/43/315,02:01:37
Darren Stockdale,Quakers RC,MO/26/23/64,02:01:38
Michael Armstrong,S'land Strollers,M45/10/39/220,02:03:15
Mick McGurk,New Marske H,M55/7/42/309,02:03:59
Chris Jamieson,Esk Valley FC,M50/15/34/241,02:04:08
MarieL. Drozdowicz,N'land Fell R.,F50/1/50/298,02:06:26
Neil Gammack,N'land Fell R.,M45/11/38/247,02:06:26
Bob Lillie,Esk Valley FC,M60/2/48/315,02:06:56
Richard Dearing,E.Hull H.,MO/27/22/43,02:08:05
Jane Raper,B'ham Marsh H.,F45/2/48/281,02:08:33
Jason Taylor,Derwentside AC,M40/17/32/176,02:08:35
Craig Lightfoot,B'ham Marsh H.,M45/12/37/37,02:10:05
Gail Tombs,Calder Valley,F55/1/50/50,02:10:41
Mark Brown,Esk Valley FC,M40/18/31/121,02:11:40
Lynn Humpleby,Pickering RC,FO/5/44/282,02:13:01
Phil Owen,Elvet Striders,M45/13/36/54,02:13:32
Susan Slack,Pickering RC,F50/2/48/327,02:13:54
Andrew Mitchell,Individual#,MO/28/21/21,02:13:55
Ian Harmer,Esk Valley FC,M55/8/41/297,02:13:59
Bob Horsman,Pickering RC,MO/29/20/73,02:15:38
Alison Rolfe,Esk Valley FC,F45/3/46/329,02:15:40
Andrew Mochrie,Esk Valley FC,MO/30/19/19,02:16:50
Gavin Stewart,Esk Valley FC,MO/31/18/18,02:16:52
Carl Clapton,Scarborough AC,M40/19/30/147,02:17:23
