name,club,category,time
Steve Birkinshaw,Borrowdale FR,MV40,00:37:03
Louis Goffe,Northumberland FR,M,00:37:25
Gary Jones,Northumberland FR,M,00:38:31
Ian Bromley,Tynedale Harriers,M,00:39:11
Mark Clarkson,Northumberland FR,M,00:39:25
Peter Murphy,Tynedale Harriers,MV40,00:40:29
Scott Gibson,Northumberland FR,M,00:40:43
Paul Pickett,,MV40,00:40:51
John Tollitt,Northumberland FR,MV40,00:41:35
Francis Shillitoe,Northumberland FR,M,00:41:45
Neil Cassidy,Tynedale Harriers,MV50,00:42:05
Stephen Minnikin,,M,00:42:16
Lawrence Johnson,Northumberland FR,MV50,00:42:26
Mike Broadhurst,Tynedale Harriers,MV50,00:42:30
Karen Robertson,Northumberland FR,LV40,00:42:35
Steve Hill,Tynedale Harriers,MV40,00:42:39
William Pickett,Norham,MV40,00:43:55
Chris Rowe,Northumberland FR,M,00:44:13
Nigel Callender,,M,00:44:47
Rob Stephens,Northumberland FR,MV50,00:45:07
Barry Young,North Shields Poly,MV50,00:46:19
Rachel Vincent,Tynedale Harriers,L,00:46:28
Gary Law,,MV50,00:49:57
Les Stephenson,Kendal AC,MV60,00:50:06
Tara Johnson,Northumberland FR,L,00:51:08
Jane Hetherington,Northumberland FR,L,00:54:20
Chris Haswell,Northumberland FR,MV40,00:54:21
Sandra Thompson,OneLife Tri,LV40,00:55:38
Marianne Pughe,OneLife Tri,LV40,00:55:39
Dougie Nisbet,Durham FR,MV40,00:55:57
Joanne Marsden,Tynedale Harriers,LV40,00:56:55
Craig Thomson,Allen Valley Striders,MV50,00:57:13
D Hodkinson,,MV40,00:57:42
Sara Stewart,Allen Valley Striders,LV40,00:58:00
Jeff Thompson,,MV50,00:58:52
Berenise Barnes,,L,00:59:08
John Humble,Northumberland FR,MV60,00:59:11
Sam Burnish,Tynedale Harriers,L,00:59:49
Lucy Dunlop,Tynedale Harriers,LV40,01:00:10
Celia Sanderson,Allen Valley Striders,LV40,01:00:17
Sue Jackson,Allen Valley Striders,LV40,01:00:18
Nicky Jeffrey,Tynedale Harriers,LV50,01:00:28
Rose Todhunter,Allen Valley Striders,LV50,01:01:27
Ian Gibson,Tynedale Harriers,MV50,01:01:28
Dondo Sakutompo,,M,01:02:30
Bridget Broadhurst,Tynedale Harriers,LV50,01:02:50
Julie Pearson,,LV40,01:04:09
Linda Roche,,LV40,01:04:33
Lyndia Pike,,L,01:05:27
Angela Speed,Allen Valley Striders,LV50,01:05:45
Kim Firstbrook,Tynedale Harriers,LV50,01:06:01
Joanne Perthew,,L,01:07:51
S Devlin,Tynedale Harriers,L,01:11:11
Debbie Firstbrook,,LV40,01:15:50
