name,club,category,time
Tom Addison,Helm Hill Runners,MSEN,01:33:28
Simon Bailey,Mercia Fell Runners,MSEN,01:33:41
Carl Bell,Keswick AC,MSEN,01:33:49
Chris Arthur,Bowland Fell Runners,MSEN,01:33:54
Christopher Holdsworth,Clayton-le-Moors Harriers,MSEN,01:34:10
Joshua Jardine,Helm Hill Runners,MU23,01:35:22
Robert Hope,Pudsey & Bramley AC,M40,01:36:20
Jack Wood,Ilkley Harriers AC,MSEN,01:36:32
Mark Lamb,Keswick AC,MSEN,01:36:50
Ben Mounsey,Calder Valley Fell Runners,MSEN,01:36:51
Andy Swift,Calder Valley Fell Runners,MSEN,01:37:06
Rob Jebb,Bingley Harriers & AC,M40,01:37:50
Steven Hebblethwaite,Keswick AC,MSEN,01:38:21
Matthew Lockyer,Pudsey & Bramley AC,MSEN,01:38:27
Matthew Elkington,Dark Peak Fell Runners,MU23,01:38:54
James Appleton,Keswick AC,MSEN,01:39:10
Tom Saville,Dark Peak Fell Runners,MU23,01:39:33
Joe Baxter,Pudsey & Bramley AC,MSEN,01:39:42
Phil Marsden,Horwich R M I Harriers,MSEN,01:39:47
William Neill,Mercia Fell Runners,MSEN,01:40:10
Mark Addison,Helm Hill Runners,MSEN,01:40:16
Adam Perry,Helm Hill Runners,MSEN,01:40:57
Michael Ainsworth,Helm Hill Runners,MSEN,01:41:05
Victoria Wilkinson,Bingley Harriers & AC,WSEN,01:41:10
Sam Stead,Keswick AC,MSEN,01:41:24
Gavin Mulholland,Calder Valley Fell Runners,M45,01:41:31
Ben Abdelnoor,Ambleside AC,MSEN,01:42:04
Pete Hodges,Dark Peak Fell Runners,MSEN,01:42:20
Sam Watson,Wharfedale Harriers,MSEN,01:43:03
Harry Holmes,Pudsey & Bramley AC,MSEN,01:43:36
Chris Edis,Keswick AC,MSEN,01:43:41
Mark Roberts,Borrowdale Fell Runners,M55,01:43:51
Mark McGoldrick,Wharfedale Harriers,MSEN,01:44:11
Ben Bardsley,Borrowdale Fell Runners,M45,01:44:46
Graham Pearce,Pudsey & Bramley AC,MSEN,01:44:55
Michael Fanning,Holmfirth Harriers AC,M45,01:45:08
Tom Gibbs,Ambleside AC,M40,01:45:22
Harold Wyber,Ambleside AC,MSEN,01:45:31
Alasdair Campbell,Buxton AC,MSEN,01:45:45
Kieran Hodgson,Helm Hill Runners,M40,01:45:55
Virgil Barton,Barlick Fell Runners,M40,01:45:56
Jonathan Wright,Todmorden Harriers,M45,01:46:04
David Taylor,Dark Peak Fell Runners,M50,01:46:09
Ian Mills,Pennine Fell Runners,MSEN,01:46:19
Steve Franklin,Totley AC,MSEN,01:46:39
Karl Steinegger,Ambleside AC,MSEN,01:46:42
Robert Little,Dark Peak Fell Runners,MSEN,01:47:01
Jack Ross,Staffs Moorlands AC,MSEN,01:47:05
Jonny Dry,Windsor Slough Eton & Hounslow AC,MU23,01:47:07
Chris Roberts,York Knavesmire Harriers,MSEN,01:47:13
John Hunt,Dark Peak Fell Runners,M50,01:47:26
Darren Kay,Calder Valley Fell Runners,M45,01:47:34
S Gregory,Unattached,MSEN,01:47:44
Simon Adney,Mercia Fell Runners,MSEN,01:47:47
Tim Cowin,Helm Hill Runners,M40,01:47:50
Todd Oates,Ambleside AC,MSEN,01:48:06
Simon Stainer,Ambleside AC,M45,01:48:07
Nichola Jackson,Preston Harriers,WSEN,01:48:14
Mark Taylor,Calder Valley Fell Runners,M45,01:48:15
Andrew Worster,Todmorden Harriers,MSEN,01:48:38
