name,club,category,time
Simon Bailey,Mercia Fell Runners,M,00:44:16
Morgan Donnelly,Borrowdale Fell Runners,M,00:44:27
Lloyd Taggart,Dark Peak Fell Runners,M40,00:44:48
Graham Pearce,Pudsey & Bramley AC,M,00:44:59
Tom Adams,Ilkley Harriers,M,00:45:02
Ben Abdelnoor,Ambleside AC,M,00:45:13
Rob Baker,Dark Peak Fell Runners,M,00:45:26
Tom Addison,Helm Hill,U23,00:45:35
Karl Gray,Calder Valley Fell Runners,M40,00:46:06
Darren Kay,Pudsey & Bramley AC,M40,00:46:08
Carl Bell,Howgill Harriers,M,00:46:36
Mark Addison,Helm Hill,M,00:46:42
James Kevan,Horwich Rmi Harriers,M,00:46:48
Kim Collison,Eden Runners,M,00:47:00
Ben Mounsey,Calder Valley Fell Runners,M,00:47:02
Robert Little,Dark Peak Fell Runners,M,00:47:07
Shaun Godsman,Calder Valley Fell Runners,M,00:47:09
Sam Tosh,Rossendale Harriers,U23,00:47:09
Rob Hope,Pudsey & Bramley AC,M,00:47:16
John Heneghan,Pudsey & Bramley AC,M,00:47:21
Oliver Johnson,Dark Peak Fell Runners,M,00:47:25
Martin Mickkelsen-Barrow,Borrowdale Fell Runners,M,00:47:48
Joe Mercer,Skipton AC,M,00:47:52
Andrew Peace,Bingley Harriers,M40,00:47:56
Jack Ross,Staffordshire Moorlands AC,U23,00:47:59
Gavin Mulholland,Calder Valley Fell Runners,M40,00:48:01
James Logue,Calder Valley Fell Runners,M40,00:48:04
Adam Osborne,Leeds City,M,00:48:10
Tom Brunt,Holmfirth Harriers,M,00:48:14
Simon Deakin,Leeds City,M,00:48:21
Simon Harding,Macclesfield Harriers,M,00:48:23
Mark Roberts,Borrowdale Fell Runners,M45,00:48:25
Frederick Slemeck,Pudsey & Bramley AC,U23,00:48:30
Ted Mason,Wharfdale Harriers,M,00:48:35
Chris Birchall,Leeds City,M,00:48:41
Gavin Bland,Borrowdale Fell Runners,M40,00:49:01
Matthew Lockyer,Pudsey & Bramley AC,M,00:49:14
Neil Northrop,Dark Peak Fell Runners,M,00:49:23
Todd Oates,Ambleside AC,M,00:49:30
Mike Fanning,Borrowdale Fell Runners,M40,00:49:38
Sam Watson,Wharfdale Harriers,M,00:49:58
Jason Williams,Charnwood AC,M,00:49:59
Connor Carson,Mercia Fell Runners,M40,00:50:05
Darren Holloway,Pennine Fell Runners,M40,00:50:09
Pete Vale,Mercia Fell Runners,M,00:50:24
Steve Birkinshaw,Borrowdale Fell Runners,M40,00:50:30
William Neill,Mercia Fell Runners,U23,00:50:34
Jonathan Wright,Todmorden Harriers,M40,00:50:39
Christian Holmes,Wharfdale Harriers,M,00:50:57
Jonathan Bradshaw,Wharfdale Harriers,U23,00:50:58
Mick Stenton,Dark Peak Fell Runners,M50,00:51:14
Richard Houghton,Macclesfield Harriers,M45,00:51:24
Paul Cornforth,Borrowdale Fell Runners,M45,00:51:27
Jamie Luxmoore,Ambleside AC,M,00:51:32
Andrew Jebb,Bingley Harriers,M,00:51:37
Dave Milliken,Horwich Rmi Harriers,M45,00:51:39
Chris Reade,Bowland Fell Runners,M45,00:51:43
Dwane Dixon,Todmorden Harriers,M,00:51:50
Anthony Smith,Ambleside AC,M40,00:51:54
Daniel Brazier,Mercia Fell Runners,M,00:52:01
Sebastien Sillito,Helm Hill,M,00:52:08
John Hunt,Dark Peak Fell Runners,M45,00:52:09
Phil Bolton,Rossendale Harriers,U23,00:52:13
Hugh O'Donnell,Ambleside AC,M,00:52:16
John Helme,Ambleside AC,M,00:52:17
Malcolm Fowler,Cheshire Hill Racers,M45,00:52:19
Sean Carey,Todmorden Harriers,U23,00:52:24
Tim Ellis,Calder Valley Fell Runners,M,00:52:24
Adam Taylor,Garscube Harriers,M,00:52:31
Mike Robinson,Dark Peak Fell Runners,M40,00:52:32
Robin Stones,Helm Hill,M,00:52:37
David Jackson,Horwich RMI Harriers,M40,00:52:40
Dave Wilby,Ilkley Harriers,M,00:52:41
Jon Deegan,Ambleside AC,M40,00:52:45
Gareth Briggs,Staffordshire Moorlands AC,M,00:52:47
Robin Lawrence,Bingley Harriers,M40,00:52:50
Ian Nixon,Pudsey & Bramley AC,M,00:52:54
John Lloyd,Todmorden Harriers,M,00:52:57
Ed Gamble,Cheshire Hill Racers,M45,00:53:00
Neil Ashcroft,Ambleside AC,M40,00:53:01
Karl Steinegger,Ambleside AC,U23,00:53:07
Paul Stevenson,Pudsey & Bramley AC,M50,00:53:14
Alex Brown,Helm Hill,U23,00:53:20
Matthew Hulley,Dark Peak Fell Runners,M,00:53:21
Martin Peace,Bingley Harriers,M40,00:53:23
Sebastian Palmer,Rugby & Northampton AC,M,00:53:24
John Mcgrath,Ambleside AC,M45,00:53:28
Mick Green,Horwich RMI Harriers,M45,00:53:30
Steve Knowles,Pennine Fell Runners,M40,00:53:33
David Keeling,Cheshire Hill Racers,M45,00:54:06
Toby Evans,Rossendale Harriers,M40,00:54:07
Nicholas Barber,Pennine Fell Runners,M,00:54:09
Rob Jebb,Bingley Harriers,M,00:54:10
Lee Morley,Ilkley Harriers,M,00:54:13
Dave Ward,Pennine Fell Runners,M,00:54:17
Julien Minshull,Glossopdale Harriers,M50,00:54:20
Dave Motley,Clayton Le Moors Harriers,M,00:54:23
James Senior,Bingley Harriers,M,00:54:37
Andy Staveley,Burnden Road Runners,M50,00:54:54
Ben Gibbison,Dark Peak Fell Runners,M,00:54:57
Tony Heron,Dark Peak Fell Runners,M40,00:55:02
Paul Crabtree,Wharfdale Harriers,M40,00:55:08
Richard Stevens,Ambleside AC,M,00:55:14
Mark Messenger,Macclesfield Harriers,M45,00:55:15
Leon Foster,Leeds City,M,00:55:18
Tom Roo,Mercia Fell Runners,M,00:55:24
Mark Goldie,Calder Valley Fell Runners,M40,00:55:31
David Edmondson,Clayton Le Moors Harriers,M40,00:55:35
Paul Martin Crabtree,Wharfdale Harriers,M40,00:55:40
Tom Mcgaff,Cheshire Hill Racers,M55,00:55:55
Dan Stewart,Holmfirth Harriers (non Scorer),M40,00:55:57
Steve Bell,Dark Peak Fell Runners,M45,00:56:02
Alistair Murray,Horwich RMI Harriers,M,00:56:06
Paul Shackleton,Clayton Le Moors Harriers,M45,00:56:12
Robert White,Buxton & District AC,M,00:56:13
Chris Davies,Saddleworth Runners,M55,00:56:15
Clive Fitzpatrick,Cheshire Hill Racers,M,00:56:21
Richard Stott,Rossendale Harriers,M50,00:56:26
Geoffrey Gough,Clayton Le Moors Harriers,M50,00:56:37
Ben Proctor,Helm Hill,M,00:56:41
Billy Proctor,Helm Hill,M55,00:56:45
Stuart Shuttleworth,Ambleside AC,M50,00:56:52
Mick Hill,Pudsey & Bramley AC,M,00:57:00
Gordon Weight,Bingley Harriers,U23,00:57:00
Nathan Martin,Holmfirth Harriers,M,00:57:03
Philip Taylor,Rossendale Harriers,M50,00:57:05
Andy Hauser,Holmfirth Harriers,M55,00:57:07
Andrew Blackett,Durham Fell Runners,M,00:57:09
Craig Burrow,Helm Hill,M,00:57:12
Dave Roberts,FRA,M40,00:57:27
Nick Kirk,Dark Peak Fell Runners,M45,00:57:37
Alan Pickering,Matlock AC,M45,00:57:40
Keith Thomas,Burnden Road Runners,M50,00:57:47
John Doyce,Pennine Fell Runners,M45,00:57:50
Gary Johnson,Eden Runners,M40,00:57:52
Andrew Shaw,Holmfirth Harriers,M50,00:57:52
Robert Taylor,Pennine Fell Runners,M60,00:57:55
Andy Davies,Mercia Fell Runners,M45,00:58:00
Nigel Wood,Coniston Fell Runners,M,00:58:03
Gary Fleet,Pennine Fell Runners,M50,00:58:03
Paul Woolhouse,Southwell Running Club,M,00:58:04
Simon Reed,Notts AC,M50,00:58:05
Mark Hobbs,Dark Peak Fell Runners,U23,00:58:09
Steve Nolan,Burnden Road Runners,M50,00:58:12
Michael Formby,Royal Air Force,M40,00:58:13
Pete Matthews,Mercia Fell Runners,M,00:58:17
Ian Luke,Unattached,M,00:58:18
Ben Grant,Harrogate Harriers,M60,00:58:19
Mark Aspinall,Clayton Le Moors Harriers,M50,00:58:34
Tim Werrett,Mercia Fell Runners,M40,00:58:48
Alistair Cowell,Glossopdale Harriers,M,00:58:53
Chris Speight,Helm Hill,M50,00:58:59
John Rainford,Preston Harriers,M50,00:59:11
Dave Safranauskas,Cheshire Hill Racers,M45,00:59:15
Martyn Pollitt,Burnden Road Runners,M50,00:59:24
Marcel Ellison,Todmorden Harriers,M,00:59:28
Vincent Booth,Cheshire Hill Racers,M45,00:59:31
Dave Stephenson,Bingley Harriers,M50,00:59:33
Lee Proctor,Helm Hill,M,00:59:36
Karl Ward,Horwich RMI Harriers,M40,00:59:53
Matt Dawson,Glossopdale Harriers,M,00:59:58
James Semmelroth,Southwell Running Club,M,01:00:08
Daniel Jones,Leeds City,M,01:00:19
Colin Lynch,Totley AC,M40,01:00:27
Jack Holt,Clayton Le Moors Harriers,M60,01:00:31
Roy Gibson,Dark Peak Fell Runners,M50,01:00:32
Mike Walsh,Kendal AC,M60,01:00:37
Peter Ivens,Team Derby Runner,M50,01:00:39
Ivan Whigham,Clayton Le Moors Harriers,M50,01:00:44
John Mooney,Macclesfield Harriers,M50,01:00:49
Paul Drabble,Staffordshire Moorlands AC,M50,01:00:51
Pete Booth,Clayton Le Moors Harriers,M60,01:00:55
Robert Johnson,Southport Waterloo AC,M55,01:00:57
Simon Bolton,Cheshire Hill Racers,M45,01:00:59
Alan Renfree,Unattached,M50,01:01:02
Steven Bennett,North Derbyshire RC,M50,01:01:05
Darren Fishwick,Chorley Harriers,M40,01:01:05
John Hewitt,Glossopdale Harriers,M45,01:01:07
Dominic Nurse,Abbey Runners,M40,01:01:11
Graham Moffat,Howgill Harriers,M50,01:01:13
Carl Bedson,Glossopdale Harriers,M40,01:01:15
Simon Entwistle,Pennine Fell Runners,M55,01:01:26
Paul Booth,Pennine Fell Runners,M,01:01:28
John Taylor,Newport & District,M45,01:01:32
Barry Blyth,Macclesfield Harriers,M65,01:01:35
Keith Holmes,Dark Peak Fell Runners,M55,01:01:38
Neil Clarke,Macclesfield Harriers,M50,01:01:43
Ian Haigh,Southwell Running Club,M40,01:01:44
Derek Schofield,Rossendale Harriers,M55,01:01:44
Dominic Carr,Clayton Le Moors Harriers,M,01:01:49
Tim Roe,Horwich Rmi Harriers,M,01:01:57
Jonny Downing,Pennine Fell Runners,M,01:02:02
Richard Byers,Cheshire Hill Racers,M45,01:02:07
Graeme Tiffany,Pudsey Racers RC,M45,01:02:10
