name,club,category,time
Craig Roberts,Kendal,V40,00:36:10
Carl Bell,Howgill,,00:36:24
Paul Webb,,,00:37:30
Steve Swarbrick,Bowland,,00:38:26
Jon Green,Preston,,00:39:26
Paul Dugdale,Kendal,V40,00:39:33
Mark Chippendale,Bowland,,00:40:03
Robert Moffatt,Howgill,,00:41:07
Nick Sharp,,V40,00:41:09
Melanie Hyder,Helm Hill,1st Lady,00:41:29
Mike Gradwell,,V40,00:42:17
Jos Addison,Helm Hill,,00:42:19
John Beetham,Keswick,,00:42:36
Paul Neild,Bowland,,00:42:52
Eddie Irving,Ilkley,V50,00:43:11
Darren Fishwick,Chorley,V40,00:43:32
Phil Mather,,,00:43:41
Paul Reilly,Coniston,,00:43:56
Andrew Crowther,Lonsdale,,00:43:58
Shaun Addison,Helm Hill,V50,00:44:20
Steven Carr,,V50,00:44:37
Stephen Lashley,,V40,00:44:41
Alex Farrow,,,00:44:55
Sean Robinson,Howgill,,00:45:00
Phil Thurlow,Helm Hill,V40,00:45:10
David Griffin,Dallam,V50,00:45:33
Gary Johnston,Blackpool,V50,00:46:02
Matt Pearman,Kendal,,00:46:14
Peter Thompson,Clayton,V50,00:46:36
Jane Reedy,Ambleside,,00:46:56
Michael Smith,Dallam,V40,00:46:56
Peter Hall,Barrow,V70,00:47:16
Michael Toman,Rossendale,V40,00:47:21
Pat McIver,Blackcoombe,V40,00:47:47
John Singleton,Clayton,V50,00:48:29
Alan Coulston,,,00:48:36
Peter Singleton,Blackpool,V50,00:48:38
Charles Colby,Wesham,V40,00:48:40
John Matthews,Ambleside,V40,00:48:52
Stuart Hurst,,V40,00:49:04
Matthew Owen,,,00:49:09
Paul Jennings,Kendal,V40,00:49:13
Evelyn Dugdale,Kendal,V40,00:49:27
Jamie Dowdale,Darwen,,00:49:28
Roger Quayle,Barrow,V50,00:49:29
Tom Hill,,,00:49:52
Robert Crawford,,,00:50:17
Helen Lawrenson,Wesham,V40,00:50:20
Sean Bolland,Bowland,,00:50:21
David Wright,Kendal,V50,00:50:51
Neil Taylor,Skelmersdale,V40,00:50:53
John Quine,Kendal,V50,00:51:07
Donna Whitehead,,V40,00:51:28
Samuel Lashley,,,00:51:30
Peter Gorst,,V50,00:51:50
Andrew Bland,Kendal,,00:51:55
Paul Stocks,,V40,00:52:18
Greg Tagney,Dallam,V60,00:52:25
Bev Thompson,Clayton,V40,00:52:28
Alan Barr,,V40,00:52:42
Andrew Firth,Clayton,V50,00:53:03
Dianne Priestley,Kendal,V60,00:53:14
Alan Heaton,Bowland,V50,00:54:35
Guillermo Tedessi,,,00:54:42
Emma Aspden,,,00:54:50
Gareth Rapkin,,,00:54:54
Jenna Woods,Howgill,,00:54:55
Christine Jennings,Kendal,V40,00:55:10
Paul Percival Smith,Kendal,V50,00:55:32
David Parminter,Blackcoombe,V50,00:55:56
Christopher Jamieson,Esk Valley,V50,00:55:58
Angela Colby,Wesham,V40,00:56:11
Helen Newton,Kendal,,00:56:18
Leigh Martindale,Dallam,,00:57:35
Andrea Menzies,,V40,00:57:56
Robert McKeevor,Blackcoombe,V60,00:58:07
Andrew Leedman,Dallam,,00:58:19
Tim Walker,Yealand,,00:58:25
Sally Horn,,V40,00:58:36
Paul Byrne,,V40,00:58:38
Robert Massey,Blackpool,V60,00:59:48
Ian Conway,Hoad Hill,V60,00:59:55
Stephen Aynsley,,V40,01:00:03
Neil Dyson,Ochil Hill,V60,01:03:13
Lucy Zaboklicka,Handycross,,01:04:36
Rod Martindale,Dallam,V50,01:05:43
Sandra Bland,,,01:06:01
Bernard Singleton,Blackpool,V60,01:07:52
Chris Dodwell,,V40,01:08:25
Mark Quine,Manx,V50,01:11:25
Rachel Wray,,,01:17:13
Luke Cadwell,,,01:17:13
George Arnold,Preston,V70,01:24:00
