name,club,category,time
S. DIMELOW,DARK PEAK,V40,22-50
S. ROEBUCK,PENISTONE F.R. & A.C.,,24-40
M. STENTON,DARK PEAK,V 40,25-41
J. MANN,PENISTONE F.R. & A.C.,,26-24
M. LAW,PENISTONE F.R. & A.C.,V 40,26-54
P. WILKIE,DARK PEAK,LV 40,27-18
S. RIPPON,PENISTONE F.R. & A.C.,V 40,27-54
R. BERESFORD,DARK PEAK,V 40,28-43
J. WOOD,RUGBY,,29-17
W. PARKINSON,PENISTONE F.R. & A.C.,V 40,29-26
P. MORRIS,PENISTONE F.R. & A.C.,,29-44
P. DAVISON,PENISTONE F.R. & A.C.,,30-04
G. TAYEH,BARNSLEY HARRIERS,,30-38
S. SANDERS,PENISTONE F.R. & A.C.,,30-51
T. ADAMS,UNATTACHED,,31-02
D. GILL,DENBY DALE,V 50,31-34
S. FRITH,PENISTONE F.R. & A.C.,V 50,31-42
R. ARMOUR,UNATTACHED,,31-47
N. WHITTINGHAM,PENISTONE F.R. & A.C.,V 50,31-49
D. FOSTER,PENISTONE F.R. & A.C.,V 50,31-56
E. FEEK,ROYAL MAIL SHEFFIELD R.C.,V 40,32-17
G. DIMELOW,PENISTONE F.R. & A.C.,V 50,32-17
K. GORDON,PENISTONE F.R. & A.C.,V 60,32-19
M. HORSFALL,DENBY DALE,V 60,32-49
J. SPENCER,HALLAMSHIRE HARRIERS,V 50,33-10
J. MOXON,PENISTONE F.R. & A.C.,LV 40,33-14
A. WHITTAKER,SPENBOROUGH & DISTRICT,V 40,33-18
C. BIRCHALL,PENISTONE F.R. & A.C.,,33-30
D. STERN,KIMBERWORTH STRIDERS,,33-34
J. SWINDEN,DARK PEAK,V 40,33-53
C. PORTEOUS,PENISTONE F.R. & A.C.,V 50,34-11
J. MASON,HALLAMSHIRE HARRIERS,V 50,34-20
T. KEMP,PENISTONE F.R & A.C.,L,34-22
P. STANLEY,PENISTONE F.R. & A.C.,V 50,34-48
B. HAGUE,UNATTACHED,V 50,34-49
B. LINDSEY,PENISTONE F.R. & A.C.,V 50,35-18
D. CROSSLEY,BARNSLEY HARRIERS,,35-20
J. BISSELL,BARNSLEY HARRIERS,L,35-20
S. PHELAN,PENISTONE F.R. & A.C.,L,35-46
P. HETHERINGTON,VALLEY HILL RUNNERS,V 50,35-47
J. WALLER,DARK PEAK,LV 50,37-30
S. HIGHAM,PENISTONE F.R. & A.C.,LV 60,37-33
S. LOGAN,BARNSLEY HARRIERS,V 50,38-13
S. MANN,PENISTONE F.R. & A.C.,LV 40,40-13
P. PARKIN,PENISTONE F.R. & A C.,V 60,41-23
D. GRIFFIN,BARNSLEY A.C.,,41-39
M. CROSS,UNATTACHED,L,44-27
C. WATTS,UNATTACHED,LV 40,45-35
K. PORTEOUS,PENISTONE F.R. & A.C.,LV 50,49-33
