name,club,category,time
Quentin Lewis,Baildon Runners,M,17:18
James Hall,Wharfedale Harriers,M - U18,17:38
Stephen Chew,Wharfedale Harriers,M,17:46
Brad Travis,Calder Valley,M- U18,17:56
Christopher Loftus,K&CAC,M40,18:07
Nigel Armitage,Pudsey Pacers,V40,18:16
Annabel Mason,Wakefield Harriers,F-U18,18:18
John Mason,Wakefield Harriers,M40,18:27
Christian Holmes,Wharfedale Harriers,M40,18:34
Nick Charlesworth,Wharfedale Harriers,M40,18:35
Simon Johnson,Bingley Harriers,M40,18:56
Mark Taylor,U/A,M40,19:10
Steve Smithies,Calder Valley,M40,19:19
Ian Rowbotham,Ilkley Harriers,M50,19:28
Paul Crabtree,Wharfedale Harriers,M40,19:46
Darren Midgley,U/A,M,19:54
Jack Sellars,Halifax Boxing Club,M-U18,20:06
Eden Whitelaw,Calder Valley,M-U18,20:07
Graham Bird,Wharfedale Harriers,M40,20:25
Mick Chamben,Saltaire Striders,M50,20:44
Peter Hughes,Queensbury RC,M50,20:50
Phil Grimes,Halifax Harriers,M50,20:54
Anne Johnson,Calder Valley,F40,20:59
Molly Travis,Halifax Harriers,F-U18,21:08
Dick Ballantine,K&CAC,V40,21:18
Lloyd Davies,Wharfedale Harriers,M-U18,21:32
Chris Godridge,Halifax Boxing Club,M40,21:34
Martin Farrer,Skyrac,M40,21:40
Simon Bolton,Wilmslow RC,M40,21:50
Phil Davis,Pudsey & Bramley,M40,21:54
David Askew,Harrogate AC,M40,22:02
Carl Heron,Queensbury RC:,M50,22:04
Robert Paradise,U/A,M,22:15
Michael Dronsfield,Spen AC,M50,22:17
Steve Carter,K&CAC,M60,22:19
Sandra Lewis,Altrincham,F,22:35
Michael Toman,Rossendale H:,M40,22:43
Steve Wothal,Retford AC,M50,22:45
Shona Stone,Aire Valley Runners,F,22:48
Ken Taylor,Rossendale Harriers,M60,22:48
Bernard Hare,Bowland,M50,22:49
Clive Greatorex,Todmorden Harriers,M40,22:52
Tim Leagles,Calder Valley,M,22:58
Alex Hanson,Halifax Boxing Club,M-U18,23:09
Nichael Bolton,U/A,M,23:10
Rob Yorke,U/A,M,23:24
Nick Small,Halifax Harriers,V40,23:34
Phil Derych,Stadium Runners,M,23:35
Mick Coe,Queensbury,M40,23:36
Richard Lockwood,U/A,M40,23:38
Toni Melechi,Ilkley Harriers,M40,23:43
Tilly Melechi,Ilkley Harriers,F-U18,23:47
Philip Robinson,Queensbury,M40,23:52
Martin Stacey,Vegan Runners,M40,23:54
James Nunn,Calder Valley,M50,24:00
Allan Greenwood,Calder Valley,M50!!,24:05
Paul Davies,U/A,M,24:07
Chris Godridge (JR),Halifax Boxing Club,M-U18,24:11
Jamie Yarwood,U/A,M,24:16
Antony Bain,Northern Vets,M50,24:17
Jacub Robinson,U/A,M40,24:25
Sam Robson,U/A,M40,24:25
Daniel Caris,Ogden Runners,M,24:26
Caroline Harding,Pudsey & Bramley,F,24:35
Aileen Baldwin,Stainland Lions RC,F60,24:48
Dave Armstrong,Saltaire Stiders,M60,24:54
Scot Baistow,Wharfedale Harriers,M,24:56
John Simpson,U/A,M40,25:05
Claire Hanson,Calder Valley,F,25:15
Gary Muir,Calder Valley,M50,25:17
Neil Fairburn,Baildon Runners,M40,25:24
Trevor Murgatroyd,Calder Valley,M40,25:34
John Taylor,U/A,M40,25:39
Graham Jowett,Queensbury,M60,25:45
Philip Jones,Calder Valley,M50,25:49
Damien Pearson,U/A,M,25:50
Alistair Whitelaw,Calder Valley,M40,25:50
Anna Smith,Baildon Runners,F40,26:02
John Crabtree,Baildon Runners,M50,26:11
Rob Myers,U/A,M50,26:23
Robert Naylor,U/A,M40,26:26
Camille Askins,K&CAC,F40,26:32
Gillian Wisbey,Calder Valley,F40,26:34
Liam McGally,Kirkstall Harriers,M,26:43
Craig Geddes,U/A,M,26:48
Mollie Jagger,Calder Valley,F-U18,27:02
Rishard Treitl,Clayton Le |Moors,M50,27:12
John Tompson,Ogden Runners,M50,27:14
Tony Bradley,Calder Valley,M50,27:23
Linda Hayles,Calder Valley,F50,27:31
Graham Collinge,Ogden Runners,M50,27:37
Karren Ballentine,K&CAC,F40,27:52
Anthony McManns,Calder Valley,M40,27:54
Ray Lawson,U/A,M50,28:03
Ryan Cabeen,U/A,M,28:04
Peter Derych,U/A,M50,28:05
Mick Listen,U/A,M40,28:05
Ben Farrar,K&CAC,M-u18,28:22
Angela Gray,Wharfedale Harriers,F40,28:26
Phil Lucas,U/A,M40,28:33
David Moody,U/A,M40,28:36
Chris Gafney,U/A,M40,28:59
Steve Wilby,Queensbury RC,M50,29:05
Gemma Carpenter,Ilkley Harriers,F,29:17
Steve Boyer,Stainland Lions RC,M40,30:25
Charmian Heaton,Retford AC,F50,30:36
Steve Taylor,Fell Ponies,M40,31:02
Dan Buffham,Otley AC,M50,31:06
Mick Waddilove,K&CAC,M40,31:13
Helen Goldthorpe,Kirkstall Harriers,F,31:14
Janice Davidson,Baildon Runners,F40,31:22
Dennis Olkeep,Halifax Harriers,M50,31:34
Patsy Hall,Wharfedale Harriers,F50,31:42
Roger Hall,Wharfedale Harriers,M60,31:43
Sarah Martin,Wharfedale Harriers,M,31:47
Duncan Lawson,U/A,M,32:05
Livi Farrar,K&CAC,F,32:35
Lucy Spencer,U/A,F,33:04
Tim Spencer,U/A,M50,33:04
Roger Dawson,Otley AC,M60,36:33
Caroline Naylor,U/A,F,46:38
