name,club,category,time
M ADDISON,HELM HILL,U23,27:06:00
B ABDELNOOR,AMBLESIDE,,27:15:00
C NEWMAN,WHARFEDALE,,29:26:00
R STONES,HELM HILL,,29:38:00
G GREENHOWE,U/A,,29:51:00
P DUGDALE,KENDAL AAC,V40,29:56:00
S SILLITO,HELM HILL,,30:03:00
D WILBY,U/A,,30:14:00
J DEAGAN,AMBLESIDE,V40,30:24:00
D WHITE,HELM HILL,V40,30:37:00
A BROWN,HELM HILL,U23,31:23:00
J RIGBY,U/A,,31:26:00
J BANNERMAN,HIGHLANDS,,31:27:00
C STEINEGGER,AMBLESIDE,U23,31:41:00
J BAGGE,HELM HILL,V50,32:06:00
B PROCTER,HELM HILL,,32:50:00
J MUIR,HELM HILL,,33:24:00
G HARDING,AMBLESIDE,,33:40:00
R HICKS,THCA,,33:42:00
A BOWNESS,U/A,V40,33:48:00
G BEARDWOOD,HELM HILL,,33:58:00
S CARR,U/A,V50,34:06:00
D MCDONALD,HIGHLANDS,,34:09:00
N WHITE,KENDAL AAC,F,34:13:00
D BANKS,KENDAL AAC,V40,34:17:00
P SAVAGE,AMBLESIDE,,34:22:00
M WALSH,KENDAL AAC,V60,34:25:00
W PAGE,U/A,,34:35:00
P THURLOW,HELM HILL,V40,34:55:00
A MUIR,U/A,,34:56:00
G LOBB,U/A,,35:28:00
A MILLER,KENDAL AAC,V50,35:32:00
S ADDISON,HELM HILL,V50,35:58:00
P RILEY,U/A,,36:02:00
N WOOD,U/A,,36:03:00
R PYNE,KENDAL AAC,,36:08:00
C SCHOFIELD,HELM HILL,V40,36:15:00
A BENNET,HELM HILL,V40,36:18:00
L VARNEY,KENDAL AAC,F40,36:50:00
S THOMPSON,KESWICK,,36:58:00
P WRIGHT,U/A,V40,37:03:00
W HANCOCK,CORNWALL,,37:05:00
R HICKS,THCH,,37:08:00
D GROSSE,KENDAL AAC,V40,37:10:00
C EVANS,U/A,V40,37:12:00
S TAYLOR,BINGLEY,F,37:14:00
A RICHARDS,HELM HILL,F,37:23:00
L ELLERAY,HELM HILL,F,37:24:00
J MATTHEWS,AMBLESIDE,V40,37:33:00
T MURRAY,HELM HILL,V50,37:35:00
P LONGBOTTOM,U/A,,37:51:00
A FORREST,AMBLESIDE,F40,37:54:00
E GREGORY,BOWLAND,,38:11:00
D APPLEYARD,HELM HILL,V40,38:13:00
P WILLINK,HELM HILL,V40,38:18:00
D SMITH,U/A,V40,38:30:00
K MUSETTI,AMBLESIDE,F40,39:01:00
R CANNON,HELM HILL,V40,39:08:00
D ELLERAY,U/A,,39:09:00
R BANNERMAN,HIGHLANDS,F,39:11:00
A RUSSEL,HELM HILL,V40,39:12:00
W DODDS,CLAYTON,F60,39:18:00
S BAKER,HELM HILL,V40,39:30:00
L DIXON,HELM HILL,V50,39:51:00
S KEMP,KENDAL AAC,V50,40:43:00
S CLARKE,U/A,,40:50:00
K ROGAN,WHARFEDALE,F,41:27:00
S JOHNSON,HELM HILL,V60,41:35:00
G BARRETT,HELM HILL,V50,41:45:00
L HARROD,HELM HILL,F40,42:20:00
J GOMERSALL,AMBLESIDE,V50,42:52:00
S BRAITHWAITE,HELM HILL,,42:54:00
J IRWIN,U/A,,43:21:00
M CORRIE,U/A,,43:21:00
B CLOUGH,AMBLESIDE,V50,43:26:00
P JENNINGS,U/A,V40,43:37:00
A PATTINSON,HELM HILL,F,43:43:00
V LEPPER,HELM HILL,F,44:38:00
C JENNINGS,U/A,F,47:24:00
P MORTON,U/A,V40,48:09:00
M CANNON,HELM HILL,U23,50:19:00
A CHAREUNSY,1ST RESPONDERS,,54:24:00
