name,club,category,time
Mark McGoldrick,Wharfedale,M,00:59:20
Andew Jebb,Bingley,M,01:00:52
Shaun Chew,Wharfedale,M,01:01:30
Christian Holmes,Wharfedale,M,01:02:37
Lucas Payne,Wharfedale,MV40,01:02:43
Harry Dalby,U/A,M,01:03:19
Andy Nicol,Bingley,MV40,01:04:39
Richard Scott,Bingley,MV40,01:04:49
Spencer Riley,Wharfedale,M,01:04:55
Stephen Chew,Wharfedale,M,01:05:16
Alex Pilkington,Settle Harriers,MV40,01:05:43
Sam Brummitt,Settle Harriers,MV40,01:05:52
David Ashby,Wharfedale,MV40,01:06:09
Melanie Hyder,Helm Hill,L,01:06:19
Stephen Fry,Bingley,MV50,01:07:37
Robert Shaw,Wharfedale,MV40,01:07:54
Mick Chambers,Saltaire Striders,MV50,01:09:48
Sam Dalby,FRA,M,01:10:00
Ian Coldicott,U/A,MV40,01:10:20
Tom Hollins,Wharfedale,M,01:10:23
Ryan Belshaw,U/A,M,01:10:28
Aly Raw,Bingley,LV40,01:10:32
James Harrison,Wharfedale,M,01:11:12
Peter Thompson,Clayton Le Moors,MV50,01:11:22
Alan Life,Clayton Le Moors,MV40,01:11:35
Xavier Chardkc,Wharfedale,MV40,01:11:57
Steve Woods,Pudsey And Bramley,MV50,01:12:23
Lindsey Berends,Preston Harriers,L,01:12:42
Richard Falls,Fellandale,MV50,01:13:22
Sarah Grant,Abbey Runners,LV40,01:13:36
Daniel Coe,Wharfedale,M,01:14:59
Mark Westman,Bingley,MV50,01:16:02
Nigel Haynes,U/A,MV40,01:16:56
Harry Atkinson,Bingley,MV50,01:17:15
Alan Martin,Preston Harriers,MV40,01:17:39
Mark Latham,Bingley,MV50,01:17:51
Daniel Taylor,U/A,M,01:18:11
James Fairhurst,Edgeworth,M,01:18:17
Christopher Field,U/A,MV40,01:19:07
Ian Smith,Bolton,MV50,01:19:42
StewartJohnson,Helm Hill,MV60,01:20:02
Alison Eagle,Ilkley,LV40,01:20:17
Wendy Dodds,Clayton Le Moors,LV60,01:20:31
Michael Thistletwaite,Wharfedale,M,01:20:43
Dave Armstrong,Saltaire Striders,MV60,01:20:46
Peter Carter,Preston Harriers,MV40,01:21:15
Martin Smillie,FRA,MV50,01:21:31
Rob Crawford,U/A,M,01:21:53
John Coates,Ilkley,MV50,01:21:59
Bev Thompson,Clayton Le Moors,LV40,01:22:04
Ben Tack,Holland,MV50,01:22:24
Jess Bagnall,Settle Harriers,L,01:23:05
Martin Stoney,U/A,M,01:23:08
John Orrell,Blackburn,MV40,01:23:26
Peter Jagan,Bingley,MV60,01:23:28
Ged Turner,Edgeworth,MV40,01:23:41
Michael Smith,Bingley,MV50,01:23:58
Nic McNamara,Clayton Le Moors,L,01:24:21
Darran Hull,Springfield Striders,MV40,01:24:47
Andrea Edmondson,Settle Harriers,LV40,01:25:09
Melvyn Thistlethwaite,Clayton Le Moors,MV50,01:25:20
Marie Mitton,Settle Harriers,LV40,01:25:32
Bruce Duncan,Bingley,MV60,01:25:54
Kath Hoyer,Wesham Road Runners,LV50,01:26:00
Mark Charnley,U/A,M,01:26:54
Dawn Richards,Clayton Le Moors,LV40,01:27:07
Linda Lord,Clayton Le Moors,LV60,01:27:24
Rienier Roelants,Holland,MV40,01:27:42
Rachel Hill,FRA,LV40,01:28:50
Colin Best,Otley AC,MV50,01:30:53
Maarten Reinking,Holland,MV40,01:31:37
Neil Dyson,U/A,MV60,01:32:08
Jean Rawlinson,Clayton Le Moors,LV60,01:33:03
James Webb,Wharfedale,MV50,01:33:22
Sarah Cross,Settle Harriers,LV40,01:35:55
Catherine Hull,Springfield Striders,L,01:38:05
Douwe Alserda,Holland,MV40,01:38:13
Lucien Heusy,Holland,MV40,01:38:42
Phil Lakeland,Preston Harriers,MV50,01:40:06
Hienkens,Holland,MV40,DNF
Graham Schofield,Chorley Harriers,MV50,DNF
