name,club,category,time
R. LIGHTFOOT,ELLENBOROUGH,M,1:17,39
J. DAVIES,BORROWDALE,M/40,1:20,34
C. BELL,HOWGILL,M,1:22,49
M. McGOLDRICK,WHARFEDALE,M,1:27,17
J. McGRATH,AMBLESIDE,M/40,1:27,22
B. STEWART,HOLMFIRTH,M,1:27,29
D. RABY,CHORLEY,M,1:28,29
A. SCHOFIELD,BORROWDALE,M/40,1:29,04
G.GREENHOW,U/A,M,1:29,16
T. SESSFORD,KEIGHLEY,M,1:32,39
S. WARE,EDEN RUNNERS,M,1:35,30
C. HOLMES,WHARFEDALE,M,1:35,38
P. WILLIAMS,PENNINE,M,1:35,45
B. PROCTOR,HELM HLL,M,1:35,49
B. WALTON,HORWICH,M/50,1:36,07
C. LIGHTBURN,U/A,M,1:36,11
J. BADGE,HELM HILL,M/50,1:36,23
G. HARDING,AMBLESIDE,M,1:36,33
R. TALBOT,AMBLESIDE,M,1:36,38
I. ROWBOTHAM,ILKLEY,M/50,1:36,55
C. SMITH,KESWICK,M/40,1:37,06
E. NEWEY,MERCIA,M,1:37,21
S. FREEMAN,AMBLESIDE,M/40,1:37,23
J. TYSON,AMBLESIDE,M,1:37,27
M. DALBY,U/A,M,1:37,27
F. HUGHES,CAMBRIDGE UNI.,F,1:38,07
P. TARGETT,FELL PONIES,M/40,1:38,16
T.PARR,U/A,M/40,1:38,23
J. MURFIN,SETTLE HARRIERS,M/40,1:38,54
N. HARDIMAN,CLAYTON-LE-MOOR,M/40,1:39,01
G. OWENS,N F R,M/50,1:39,06
A. SLATERRY,U/A,M/40,1:39,57
P. CRAKER,AMBLESIDE,M,1:40,01
G. THOMAS,KENDAL,M/40,1:40,44
J. RATCLIFFE,ARRAGANS TRI,M,1:41,44
S. PARTINGTON,MANX H.,M/40,1:42,39
S. DALBY,U/A,M,1:43,40
O. FIELDEH,CFR,M,1:44,01
D. BUCHANAN,PUDSEY+BRAMLEY,M/40,1:44,03
P. HESKETH,CLAYTON-LE-MOOR,M/40,1:44,06
A. BOWNESS,U/A,M/40,1:44,40
S. PLATT,U/A,M,1:45,11
J. LEE,EYRI HARR.,F,1:45,13
P. LAMBERT,WHARFEDALE,M/40,1:45,15
I. HUTCHINSON,BOWLAND,M/40,1:45,50
R. PYNE,KENDAL,M,1:46,15
C. EVANS,AMBLESIDE,M/40,1:48,56
A. LEE,ROSSENDALE,M/40,1:49,30
S. EASTAUCH WARING,HOGWEED TROTTERS,M/40,1:49,40
A. SUNTER,HORWICH,M/50,1:50,31
S. DAVIES,WHARFEDALE,M,1:50,49
B. KIVLEHAN,N F R,M/50,1:51,16
P. WRIGHT,U/A,M/40,1:51,27
D. MEAD,ROCHDALE,M,1:52,24
A. JOYCE,CRUSADERS,F,1:52,30
C. RUSSELL,CFR,F,1:52,38
S. RODGER,BLACKCOMBE,M,1:53,16
M. BROOKS,U/A,M/40,1:53,33
M. BAILEY,U/A,M/40,1:54,10
E. GREENFIELD,NUNEATON,F,1:54,24
J. CHRISTMAS,U/A,M,1:55,01
A. HAYDEN,U/A,M,1:55,27
D. ELLERTON,U/A,F/50,1:55,45
E. FOWLER,NUNEATON,M/40,1:55,56
A. KIRKBY,ARRAGANS TRI,M,1:56,07
D. EVANS,MALDWIN H.,M/50,1:56,19
D. JONES,U/A,M/60,1:56,30
