name,club,category,time
HOPE, Danny,Pudsey & Bramley AC,Senior Men,00:28:21
CLARK, Daniel,Bowland FR,Senior Men,00:28:59
BOLLAND, Sean,Bowland FR,Veteran 40 Men,00:29:57
LIVESEY, Tony,Preston H.,Senior Men,00:30:09
NEWTON, Andrew,Preston H.,Senior Men,00:30:18
LUND, Graham,Bowland FR,Senior Men,00:30:32
PERRY, Matt,Clayton Le Moors H.,Senior Men,00:30:35
HARRISON, Samuel,Bowland FR,Senior Men,00:30:37
FISHWICK, Darren,Chorley A & TC,Veteran 40 Men,00:30:53
PARKINGTON, Dave,Preston H.,Veteran 50 Men,00:31:31
MATHER, Phil,Lonsdale FR,Senior Men,00:31:37
FITZPATRICK, Clive,Trafford AC,Veteran 40 Men,00:31:44
WHITE, Phil,,Senior Men,00:31:49
NUTTALL, David,Clayton Le Moors H.,Veteran 40 Men,00:32:10
SHAW, Brian,Darwen Dashers RC,Veteran 40 Men,00:32:12
MOTLEY, Dave,Clayton Le Moors H.,Senior Men,00:32:13
OWEN, Matthew,Bowland FR,Veteran 40 Men,00:32:14
GOODWIN, Glen,Accrington RR,Veteran 40 Men,00:32:17
IRVING, Mark,Bowland FR,Senior Men,00:32:33
GREEN, Robert,Achille Ratti CC,Senior Men,00:33:01
NAUGHTON, Dave,Clayton Le Moors H.,Veteran 50 Men,00:33:05
RAINFORD, John,Preston H.,Veteran 50 Men,00:33:06
SMITHIES, Stephen,Calder Valley FR,Veteran 40 Men,00:33:07
ORR, Andrew,Clayton Le Moors H.,Veteran 40 Men,00:33:20
BARNES, Chris,Blackburn H & AC,Senior Men,00:33:24
BALDERSON, Chris,Bowland FR,Veteran 40 Men,00:33:27
PRIORY, Andrew,Accrington RR,Veteran 40 Men,00:33:30
REILLY, Derek,Darwen Dashers RC,Veteran 40 Men,00:33:32
BENNISON, Yewan,Chorley A & TC,Veteran 40 Men,00:33:34
FOLEY, Steven,Newburgh Nomads RC,Veteran 40 Men,00:33:38
JENNINGS, Colin,Garstang RC,Veteran 40 Men,00:33:42
WILKINSON, Ryan,Clayton Le Moors H.,Senior Men,00:33:44
CARR, Dominic,Clayton Le Moors H.,Veteran 40 Men,00:33:46
GOWANS, Deborah,Accrington RR,Veteran 50 Ladies,00:34:00
SARGINSON, Simon,Bowland FR,Veteran 50 Men,00:34:01
BRISCOE, Richard,Clayton Le Moors H.,Senior Men,00:34:12
SLATER, Catherine,Preston H.,Senior Ladies,00:34:13
RIDING, Nick,,Senior Men,00:34:46
WOOD, Rowan,Lonsdale FR,Senior Men,00:34:47
SHANAHAN, Peter,Lonsdale FR,Senior Men,00:34:51
RALPHS, David,Newburgh Nomads RC,Veteran 50 Men,00:35:05
WILLIAMS, Ian,,Veteran 40 Men,00:35:18
GRIFFITHS, John,Preston H.,Veteran 50 Men,00:35:33
MADDOCKS, Ellie,Lonsdale FR,Senior Ladies,00:35:41
TAGG, Graham,Garstang RC,Veteran 40 Men,00:35:43
FURNESS, Gary,Eon RR,Senior Men,00:36:03
WHIGHAM, Ivan,Clayton Le Moors H.,Veteran 50 Men,00:36:09
COX, Stephen,Bowland FR,Veteran 40 Men,00:36:11
ROBERTS, Martin,Todmorden H & AC,Veteran 50 Men,00:36:19
DAVIES, Richard,Bowland FR,Veteran 50 Men,00:36:22
DAVIS, Matt,Howgill H.,Senior Men,00:36:30
ATKINS, Dawn,Chorley A & TC,Senior Ladies,00:36:37
CARTMELL, Steven,Bowland FR,Veteran 40 Men,00:36:43
MASSEY, Joseph,,Senior Men,00:36:44
LACKEY, Adam,,Senior Men,00:36:52
SHURSTONE, Edwin,Southport Waterloo AC,Veteran 40 Men,00:36:56
WEAVER, Nigel,Clayton Le Moors H.,Veteran 50 Men,00:37:00
DONNELLY, Julian,,Veteran 50 Men,00:37:04
DUERDEN, Neil,Darwen Dashers RC,Senior Men,00:37:05
BROWNING, Peter,Clayton Le Moors H.,Veteran 50 Men,00:37:12
MONAGHAN, Steve,Achille Ratti CC,Veteran 50 Men,00:37:24
BURNHAM, Michael,Preston H.,Senior Men,00:37:53
GIBBISON, Mike,Bowland FR,Veteran 50 Men,00:38:00
CARR, Kieran,Clayton Le Moors H.,Veteran 60 Men,00:38:08
BARBER, Nick,Blackheath & Bromley H.,Veteran 50 Men,00:38:11
COLBY, Charles,Bowland FR,Veteran 40 Men,00:38:18
SHARPLES, Jon,Clayton Le Moors H.,Veteran 50 Men,00:38:27
QUICKFALL, Andy,Newburgh Nomads RC,Veteran 50 Men,00:38:38
TAYLOR, Mark,Clayton Le Moors H.,Senior Men,00:38:52
HICKEY, Brian,,Veteran 50 Men,00:38:58
PARKER, Lisa,Accrington RR,Senior Ladies,00:39:21
MOORE, Rickard,Clayton Le Moors H.,Veteran 50 Men,00:39:40
HODKINSON, Alan,WFRA,Senior Men,00:39:46
SHERRATT, Sarah,Bowland FR,Veteran 40 Ladies,00:39:49
CARTER, Peter,Preston H.,Veteran 40 Men,00:39:53
NAYLOR, David,Clayton Le Moors H.,Veteran 50 Men,00:39:57
SHAW, Jacqueline,Darwen Dashers RC,Veteran 40 Ladies,00:40:15
DALTON, Andy,Newburgh Nomads RC,Veteran 50 Men,00:40:35
DUGDALE, Andrew,Clayton Le Moors H.,Veteran 50 Men,00:40:43
TURNER, Shaun,Bowland FR,Veteran 40 Men,00:41:05
CALLAGHAN, Kaye,Accrington RR,Veteran 40 Ladies,00:41:16
SIMPSON, Richard,,Veteran 50 Men,00:41:40
MEEK, Lorna,,Senior Ladies,00:41:45
FURNESS, Stuart,Blackburn H & AC,Veteran 60 Men,00:41:51
LORD, Linda,Clayton Le Moors H.,Veteran 60 Ladies,00:41:58
JOHNSON, Nicola,Parbold Pink Panthers,Senior Ladies,00:41:59
SIMPSON, Paul,Bowland FR,Senior Men,00:42:05
METCALFE, Trevor,Wharfedale H.,Veteran 60 Men,00:42:13
WOOLFORD, Colin,Clayton Le Moors H.,Senior Men,00:42:17
BROOKFIELD, Andy,Newburgh Nomads RC,Veteran 60 Men,00:42:53
RAWLINSON, Jean,Barlick FR,Veteran 60 Ladies,00:42:54
BIRBECK, Mark,Horwich RMI H.,Veteran 40 Men,00:43:19
FISH, Stephen,Clayton Le Moors H.,Veteran 60 Men,00:43:31
DOHERTY, Jim,Preston H.,Veteran 40 Men,00:44:11
BIDDLE, Andrew,West Pennine Runners,Veteran 60 Men,00:45:11
WALSH, Wayne,Bowland FR,Veteran 50 Men,00:45:24
NICOLSON, Robin,Clayton Le Moors H.,Veteran 40 Men,00:45:31
FARMER, Jonathan,Bowland FR,Senior Men,00:45:33
IRWIN, Thomas,Ochil HR,Senior Men,00:45:35
CRABTREE, Thomas,,Senior Men,00:45:38
HORSFALL, Nichola,Clayton Le Moors H.,Veteran 50 Ladies,00:46:01
OULTON, Greg,Lytham St Annes RRC,Veteran 40 Men,00:46:34
COCHRANE, Matthew,Newburgh Nomads RC,Veteran 50 Men,00:46:51
EVANS, Gale,Bowland FR,Veteran 40 Ladies,00:47:40
ROBERTS, Sue,Todmorden H & AC,Veteran 50 Ladies,00:50:03
TURNER, Ruth,Bowland FR,Veteran 50 Ladies,00:50:37
MARTIN, Phil,Bowland FR,Veteran 70 Men,00:51:38
BALCH, Liam,,Senior Men,00:51:59
